,experiment_id,methodological_detail_id,qualitative_outcome,disease_id,meddra_level,meddra_id,location_id,disease_name,organism_id,organism_name,organism_ncbi_id,subject_value,control_value,ratio,method_name,sample_name,host_type,host_id,publication_id,control_name,response_name,response_unit
7596,8009,341,Reduced,28,preferred_term,10012271,42,Alzheimer's Disease,1349,Pannonibacter,227873,,,-21.3,16S rRNA sequencing,Blood,Human,971,854,Healthy control,B-value,
2963,3236,,Reduced,179,preferred_term,10036556,32,Pregnancy,470,Prevotella bivia,28125,,,-20.9,16S rRNA sequencing,Vaginal fluid,Human,469,411,Non-pregnant women,Fold change,
7589,8002,342,Reduced,28,preferred_term,10012271,10,Alzheimer's Disease,1037,Leucobacter,55968,,,-18.89,16S rRNA sequencing,Blood,Human,971,854,Healthy control,B-value,
232,234,,Reduced,1,preferred_term,10080683,10,Autism,41,Enterococcus,35783,,,-16,Cell culture,Faeces,Human,25,24,Healthy control,% Difference,% Difference
4785,5139,91,Reduced,174,preferred_term,10039626,10,Schizophrenia,9,Clostridium,1506,,,-15.9,16S rRNA sequencing,Faeces,Human,660,581,Healthy control,H,
7585,7998,342,Reduced,28,preferred_term,10012271,10,Alzheimer's Disease,175,Sutterella,40544,,,-12.84,16S rRNA sequencing,Faeces,Human,971,854,Healthy control,B-value,
4784,5138,91,Reduced,174,preferred_term,10039626,10,Schizophrenia,175,Sutterella,40544,,,-12,16S rRNA sequencing,Faeces,Human,660,581,Healthy control,H,
4783,5137,91,Reduced,174,preferred_term,10039626,10,Schizophrenia,247,Haemophilus,724,,,-11.3,16S rRNA sequencing,Faeces,Human,660,581,Healthy control,H,
9515,9982,534,Reduced,73,preferred_term,10011078,10,Coronary artery disease,501,Anaerosporobacter,653683,,,-11.24,16S rDNA pyrosequencing,Faeces,Human,1190,1072,Healthy control,log2 fold change,
2968,3241,,Reduced,179,preferred_term,10036556,32,Pregnancy,457,Atopobium vaginae,82135,,,-10.8,16S rRNA sequencing,Vaginal fluid,Human,469,411,Non-pregnant women,Fold change,
10093,10570,575,Reduced,99,preferred_term,10025409,19,Macular degeneration,77,Fusobacterium,68766,,,-10.53,16S rRNA sequencing,Buccal swab,Human,1240,1119,Healthy control,Log2 FC,
8317,8759,416,Reduced,14,preferred_term,10011762,61,Cystic Fibrosis,1088,Malassezia,55193,,,-10,ITS2 sequencing,Nasal swab,Human,1057,942,Healthy control,Fold change,
396,408,,Reduced,28,preferred_term,10012271,10,Alzheimer's Disease,8,Eubacterium rectale,39491,,,-9.6,qPCR,Faeces,Human,50,49,Healthy control,Fold change,Fold change
7132,7528,302,Reduced,75,preferred_term,10036600,32,Preterm birth,39,Bifidobacterium longum,216816,,,-8.84,16S rRNA sequencing,Vaginal swab,Human,920,809,Healthy control,Coefficient,
7133,7529,302,Reduced,75,preferred_term,10036600,32,Preterm birth,111,Bifidobacterium breve,1685,,,-8.84,16S rRNA sequencing,Vaginal swab,Human,920,809,Healthy control,Coefficient,
3098,3373,,Reduced,185,preferred_term,10037841,60,Idiopathic REM Sleep Behavior Disorder,686,Oxalobacteraceae,75682,,,-8.54,16S rRNA sequencing,Nasal lavage,Human,486,427,Healthy control,log2 fold change,
7590,8003,342,Reduced,28,preferred_term,10012271,10,Alzheimer's Disease,324,Ochrobactrum,528,,,-8.07,16S rRNA sequencing,Blood,Human,971,854,Healthy control,B-value,
3109,3384,,Reduced,185,preferred_term,10037841,10,Idiopathic REM Sleep Behavior Disorder,819,Mitsuokella,52225,,,-7.83,16S rRNA sequencing,Faeces,Human,487,427,Healthy control,log2 fold change,
7586,7999,342,Reduced,28,preferred_term,10012271,10,Alzheimer's Disease,325,Paraprevotella,577309,,,-7.8,16S rRNA sequencing,Faeces,Human,971,854,Healthy control,B-value,
7584,7997,342,Reduced,28,preferred_term,10012271,10,Alzheimer's Disease,53,Parabacteroides,1869337,,,-7.65,16S rRNA sequencing,Faeces,Human,971,854,Healthy control,B-value,
3110,3385,,Reduced,185,preferred_term,10037841,10,Idiopathic REM Sleep Behavior Disorder,453,Megasphaera,906,,,-7.61,16S rRNA sequencing,Faeces,Human,487,427,Healthy control,log2 fold change,
3093,3368,,Reduced,27,preferred_term,10061536,60,Parkinson's Disease,818,Desulfovibrionaceae,194924,,,-7.46,16S rRNA sequencing,Nasal lavage,Human,486,427,Healthy control,log2 fold change,
3111,3386,,Reduced,185,preferred_term,10037841,10,Idiopathic REM Sleep Behavior Disorder,584,Methanosphaera,2316,,,-7.45,16S rRNA sequencing,Faeces,Human,487,427,Healthy control,log2 fold change,
2964,3237,,Reduced,179,preferred_term,10036556,32,Pregnancy,412,Eggerthella,84111,,,-6.9,16S rRNA sequencing,Vaginal fluid,Human,469,411,Non-pregnant women,Fold change,
3112,3387,,Reduced,185,preferred_term,10037841,10,Idiopathic REM Sleep Behavior Disorder,263,Catenibacterium,135858,,,-6.05,16S rRNA sequencing,Faeces,Human,487,427,Healthy control,log2 fold change,
2965,3238,,Reduced,179,preferred_term,10036556,32,Pregnancy,456,Gardnerella vaginalis,2702,,,-5.8,16S rRNA sequencing,Vaginal fluid,Human,469,411,Non-pregnant women,Fold change,
7582,7995,342,Reduced,28,preferred_term,10012271,10,Alzheimer's Disease,52,Alistipes,239759,,,-5.76,16S rRNA sequencing,Faeces,Human,971,854,Healthy control,B-value,
3089,3364,,Reduced,27,preferred_term,10061536,60,Parkinson's Disease,814,Listeriaceae,186820,,,-5.72,16S rRNA sequencing,Nasal lavage,Human,486,427,Healthy control,log2 fold change,
483,499,,Reduced,5,preferred_term,10023003,10,Irritable Bowel Syndrome,277,Fusibacter,76008,,,-5.5,Phylogenetic microarray,Faeces,Human,66,62,Healthy control,Log2,Log2
7130,7526,302,Reduced,75,preferred_term,10036600,32,Preterm birth,334,Lactobacillus gasseri,1596,,,-5.36,16S rRNA sequencing,Vaginal swab,Human,920,809,Healthy control,Coefficient,
7131,7527,302,Reduced,75,preferred_term,10036600,32,Preterm birth,1309,Lactobacillus johnsonii,33959,,,-5.36,16S rRNA sequencing,Vaginal swab,Human,920,809,Healthy control,Coefficient,
5602,5975,175,Reduced,32,preferred_term,10034539,28,Aggressive periodontitis,440,Streptococcus australis,113107,,,-4.59,Human Oral Microbe Identification Microarray (HOMIM),Subgingival plaque,Human,773,680,Healthy control,W-value,
7134,7530,302,Reduced,75,preferred_term,10036600,32,Preterm birth,388,Lactobacillus crispatus,47770,,,-4.58,16S rRNA sequencing,Vaginal swab,Human,920,809,Healthy control,Coefficient,
7135,7531,302,Reduced,75,preferred_term,10036600,32,Preterm birth,523,Lactobacillus acidophilus,1579,,,-4.58,16S rRNA sequencing,Vaginal swab,Human,920,809,Healthy control,Coefficient,
5603,5976,175,Reduced,32,preferred_term,10034539,28,Aggressive periodontitis,351,Streptococcus oralis,1303,,,-4.57,Human Oral Microbe Identification Microarray (HOMIM),Subgingival plaque,Human,773,680,Healthy control,W-value,
3925,4226,34,Reduced,215,low_level_term,10047921,10,Atopic wheeze,33,Bifidobacterium,41200,,,-4.51,16S rRNA sequencing,Faeces,Human,580,505,Healthy control,log2 fold change,
5604,5977,175,Reduced,32,preferred_term,10034539,28,Aggressive periodontitis,37,Pseudomonas aeruginosa,287,,,-4.41,Human Oral Microbe Identification Microarray (HOMIM),Subgingival plaque,Human,773,680,Healthy control,W-value,
9520,9987,534,Reduced,73,preferred_term,10011078,10,Coronary artery disease,1494, Ruminococcus gauvreauii,438033,,,-4.3,16S rDNA pyrosequencing,Faeces,Human,1190,1072,Healthy control,log2 fold change,
2966,3239,,Reduced,179,preferred_term,10036556,32,Pregnancy,80,Dialister,39948,,,-4.1,16S rRNA sequencing,Vaginal fluid,Human,469,411,Non-pregnant women,Fold change,
344,353,,Reduced,26,preferred_term,10008874,10,Chronic fatigue syndrome,231,Asaccharobacter,553372,,,-4,16S rRNA sequencing,Faeces,Human,41,41,Healthy control,,
7136,7532,302,Reduced,75,preferred_term,10036600,32,Preterm birth,387,Lactobacillus iners,147802,,,-3.98,16S rRNA sequencing,Vaginal swab,Human,920,809,Healthy control,Coefficient,
7137,7533,302,Reduced,75,preferred_term,10036600,32,Preterm birth,1310,Ralstonia solanacearum,305,,,-3.98,16S rRNA sequencing,Vaginal swab,Human,920,809,Healthy control,Coefficient,
7419,7822,325,Reduced,14,preferred_term,10011762,15,Cystic Fibrosis,77,Fusobacterium,68766,,,-3.3,16S rRNA sequencing,Bronchoalveolar lavage,Human,952,837,Healthy control,log2 fold change,
2967,3240,,Reduced,179,preferred_term,10036556,32,Pregnancy,792,Ureaplasma,2129,,,-3.2,16S rRNA sequencing,Vaginal fluid,Human,469,411,Non-pregnant women,Fold change,
10253,10730,595,Reduced,7,preferred_term,10067585,10,Type 2 Diabetes,185,Collinsella,102106,,,-3.14,16S rRNA sequencing,Faeces,Human,1263,1141,Healthy control,Log2 FC,
10261,10738,595,Reduced,7,preferred_term,10067585,10,Type 2 Diabetes,1617,Cellulosilyticum ruminicola,425254,,,-3.11,16S rRNA sequencing,Faeces,Human,1263,1141,Healthy control,Log2 FC,
3090,3365,,Reduced,27,preferred_term,10061536,60,Parkinson's Disease,815,Bacillaceae,186817,,,-2.94,16S rRNA sequencing,Nasal lavage,Human,486,427,Healthy control,log2 fold change,
7420,7823,325,Reduced,14,preferred_term,10011762,15,Cystic Fibrosis,248,Neisseria,482,,,-2.9,16S rRNA sequencing,Bronchoalveolar lavage,Human,952,837,Healthy control,log2 fold change,
8666,9116,453,Reduced,27,preferred_term,10061536,5,Parkinson's Disease,1440,Bacillus megaterium,1404,,,-2.85,16S rRNA sequencing,Saliva,Human,1101,985,Healthy control,Log2 FC,
930,966,,Reduced,55,preferred_term,10033609,5,Pancreatic cancer,429,Neisseria elongata,495,,,-2.84,qPCR,Saliva,Human,144,127,Healthy control,Fold change,Fold change
3113,3388,,Reduced,185,preferred_term,10037841,10,Idiopathic REM Sleep Behavior Disorder,44,Prevotella,59823,,,-2.81,16S rRNA sequencing,Faeces,Human,487,427,Healthy control,log2 fold change,
482,498,,Reduced,5,preferred_term,10023003,10,Irritable Bowel Syndrome,276,Dehalobacter,56112,,,-2.8,Phylogenetic microarray,Faeces,Human,66,62,Healthy control,Log2,Log2
3114,3389,,Reduced,185,preferred_term,10037841,10,Idiopathic REM Sleep Behavior Disorder,820,Pasteurellales,135625,,,-2.76,16S rRNA sequencing,Faeces,Human,487,427,Healthy control,log2 fold change,
3091,3366,,Reduced,27,preferred_term,10061536,60,Parkinson's Disease,219,Ruminococcaceae,541000,,,-2.68,16S rRNA sequencing,Nasal lavage,Human,486,427,Healthy control,log2 fold change,
3092,3367,,Reduced,27,preferred_term,10061536,60,Parkinson's Disease,253,Micrococcaceae,1268,,,-2.62,16S rRNA sequencing,Nasal lavage,Human,486,427,Healthy control,log2 fold change,
10259,10736,595,Reduced,7,preferred_term,10067585,10,Type 2 Diabetes,200,Clostridium paraputrificum,29363,,,-2.51,16S rRNA sequencing,Faeces,Human,1263,1141,Healthy control,Log2 FC,
10255,10732,595,Reduced,7,preferred_term,10067585,10,Type 2 Diabetes,328,Anaerostipes,207244,,,-2.46,16S rRNA sequencing,Faeces,Human,1263,1141,Healthy control,Log2 FC,
931,967,,Reduced,55,preferred_term,10033609,5,Pancreatic cancer,32,Streptococcus mitis,28037,,,-2.45,qPCR,Saliva,Human,144,127,Healthy control,Fold change,
7421,7824,325,Reduced,14,preferred_term,10011762,15,Cystic Fibrosis,74,Shigella,625,,,-2.4,16S rRNA sequencing,Bronchoalveolar lavage,Human,952,837,Healthy control,log2 fold change,
10256,10733,595,Reduced,7,preferred_term,10067585,10,Type 2 Diabetes,843,Epulopiscium,2383,,,-2.17,16S rRNA sequencing,Faeces,Human,1263,1141,Healthy control,Log2 FC,
6873,7268,287,Reduced,156,preferred_term,10082249,10,Non-alcoholic fatty liver disease,560,Bilophila,35832,,,-1.831,16S rRNA sequencing,Faeces,Human,904,794,Healthy control,Log2,Log2
6874,7269,287,Reduced,156,preferred_term,10082249,10,Non-alcoholic fatty liver disease,1281,Fastidiospila,236752,,,-1.79,16S rRNA sequencing,Faeces,Human,904,794,Healthy control,Log2,Log2
8667,9117,453,Reduced,27,preferred_term,10061536,5,Parkinson's Disease,1442,Buchnera aphidicola,9,,,-1.79,16S rRNA sequencing,Saliva,Human,1101,985,Healthy control,Log2 FC,
10254,10731,595,Reduced,7,preferred_term,10067585,10,Type 2 Diabetes,779,Adlercreutzia,447020,,,-1.79,16S rRNA sequencing,Faeces,Human,1263,1141,Healthy control,Log2 FC,
18,19,207,Reduced,2,preferred_term,10028245,10,Multiple Sclerosis,19,Megamonas funiformis,437897,,,-1.77,16S rRNA sequencing,Faeces,Human,2,2,Healthy control,Log10,Log10
10258,10735,595,Reduced,7,preferred_term,10067585,10,Type 2 Diabetes,191,Clostridium butyricum,1492,,,-1.76,16S rRNA sequencing,Faeces,Human,1263,1141,Healthy control,Log2 FC,
10260,10737,595,Reduced,7,preferred_term,10067585,10,Type 2 Diabetes,874,Pediococcus,1253,,,-1.72,16S rRNA sequencing,Faeces,Human,1263,1141,Healthy control,Log2 FC,
4150,4454,48,Reduced,167,low_level_term,10019167,10,Hashimoto's thyroiditis,44,Prevotella,59823,,,-1.72,16S rRNA sequencing,Faeces,Human,598,523,Healthy control,log2 fold change,
7587,8000,342,Reduced,28,preferred_term,10012271,10,Alzheimer's Disease,317,Acinetobacter,469,,,-1.65,16S rRNA sequencing,Blood,Human,971,854,Healthy control,B-value,
7588,8001,342,Reduced,28,preferred_term,10012271,10,Alzheimer's Disease,554,Halomonas,2745,,,-1.54,16S rRNA sequencing,Blood,Human,971,854,Healthy control,B-value,
8668,9118,453,Reduced,27,preferred_term,10061536,5,Parkinson's Disease,1356,Campylobacter ureolyticus,827,,,-1.52,16S rRNA sequencing,Saliva,Human,1101,985,Healthy control,Log2 FC,
484,500,,Reduced,5,preferred_term,10023003,10,Irritable Bowel Syndrome,278,Oxobacter,44261,,,-1.5,Phylogenetic microarray,Faeces,Human,66,62,Healthy control,Log2,Log2
8674,9124,453,Reduced,27,preferred_term,10061536,5,Parkinson's Disease,1451,Wenyingzhuangia fucanilytica,1790137,,,-1.5,16S rRNA sequencing,Saliva,Human,1101,985,Healthy control,Log2 FC,
10257,10734,595,Reduced,7,preferred_term,10067585,10,Type 2 Diabetes,210,Ruminococcus lactaris,46228,,,-1.49,16S rRNA sequencing,Faeces,Human,1263,1141,Healthy control,Log2 FC,
17,18,207,Reduced,2,preferred_term,10028245,10,Multiple Sclerosis,18,Prevotella copri,165179,,,-1.43,16S rRNA sequencing,Faeces,Human,2,2,Healthy control,Log10,Log10
9780,10247,557,Reduced,22,preferred_term,10061451,10,Colorectal cancer,217,Phascolarctobacterium,33024,,,-1.41,16S rRNA sequencing,Faeces,Human,1218,1099,Healthy control,Log10 fold change,
6872,7267,287,Reduced,156,preferred_term,10082249,10,Non-alcoholic fatty liver disease,818,Desulfovibrionaceae,194924,,,-1.407,16S rRNA sequencing,Faeces,Human,904,794,Healthy control,Log2,Log2
6871,7266,287,Reduced,156,preferred_term,10082249,10,Non-alcoholic fatty liver disease,68,Citrobacter,544,,,-1.398,16S rRNA sequencing,Faeces,Human,904,794,Healthy control,Log2,Log2
9522,9989,534,Reduced,73,preferred_term,10011078,10,Coronary artery disease,1548,Fournierella,1940255,,,-1.36,16S rDNA pyrosequencing,Faeces,Human,1190,1072,Healthy control,log2 fold change,
8669,9119,453,Reduced,27,preferred_term,10061536,5,Parkinson's Disease,1443,Candidatus Azobacteroides,511434,,,-1.33,16S rRNA sequencing,Saliva,Human,1101,985,Healthy control,Log2 FC,
7583,7996,342,Reduced,28,preferred_term,10012271,10,Alzheimer's Disease,36,Bacteroides,29523,,,-1.31,16S rRNA sequencing,Faeces,Human,971,854,Healthy control,B-value,
8670,9120,453,Reduced,27,preferred_term,10061536,5,Parkinson's Disease,1444,Candidatus Azobacteroides pseudotrichonymphae,511435,,,-1.29,16S rRNA sequencing,Saliva,Human,1101,985,Healthy control,Log2 FC,
10262,10739,595,Reduced,7,preferred_term,10067585,10,Type 2 Diabetes,196,Terrisporobacter glycolicus,36841,,,-1.28,16S rRNA sequencing,Faeces,Human,1263,1141,Healthy control,Log2 FC,
6870,7265,287,Reduced,156,preferred_term,10082249,10,Non-alcoholic fatty liver disease,232,Enterobacteriaceae,543,,,-1.239,16S rRNA sequencing,Faeces,Human,904,794,Healthy control,Log2,Log2
8672,9122,453,Reduced,27,preferred_term,10061536,5,Parkinson's Disease,1070,Flavobacteriaceae,49546,,,-1.21,16S rRNA sequencing,Saliva,Human,1101,985,Healthy control,Log2 FC,
6883,7278,287,Reduced,156,preferred_term,10082249,43,Non-alcoholic fatty liver disease,495,Nocardioides,1839,,,-1.194,16S rRNA sequencing,Blood,Human,904,794,Healthy control,Log2,Log2
6877,7272,287,Reduced,156,preferred_term,10082249,10,Non-alcoholic fatty liver disease,218,Parasutterella,577310,,,-1.192,16S rRNA sequencing,Faeces,Human,904,794,Healthy control,Log2,Log2
6875,7270,287,Reduced,156,preferred_term,10082249,10,Non-alcoholic fatty liver disease,65,Faecalibacterium,216851,,,-1.183,16S rRNA sequencing,Faeces,Human,904,794,Healthy control,Log2,Log2
6880,7275,287,Reduced,156,preferred_term,10082249,43,Non-alcoholic fatty liver disease,1236,Deinococcus,1298,,,-1.172,16S rRNA sequencing,Blood,Human,904,794,Healthy control,Log2,Log2
6876,7271,287,Reduced,156,preferred_term,10082249,10,Non-alcoholic fatty liver disease,66,Acidaminococcus,904,,,-1.159,16S rRNA sequencing,Faeces,Human,904,794,Healthy control,Log2,Log2
16,17,207,Reduced,2,preferred_term,10028245,10,Multiple Sclerosis,17,Desulfotomaculum,41211,,,-1.11,16S rRNA sequencing,Faeces,Human,2,2,Healthy control,Log10,Log10
4149,4453,48,Reduced,167,low_level_term,10019167,10,Hashimoto's thyroiditis,36,Bacteroides,29523,,,-1.11,16S rRNA sequencing,Faeces,Human,598,523,Healthy control,log2 fold change,
9781,10248,557,Reduced,22,preferred_term,10061451,10,Colorectal cancer,33,Bifidobacterium,41200,,,-1.1,16S rRNA sequencing,Faeces,Human,1218,1099,Healthy control,Log10 fold change,
8673,9123,453,Reduced,27,preferred_term,10061536,5,Parkinson's Disease,1447,Halobacillus mangrovi,402384,,,-1.08,16S rRNA sequencing,Saliva,Human,1101,985,Healthy control,Log2 FC,
6878,7273,287,Reduced,156,preferred_term,10082249,10,Non-alcoholic fatty liver disease,134,Turicibacter,191303,,,-1.078,16S rRNA sequencing,Faeces,Human,904,794,Healthy control,Log2,Log2
15,16,207,Reduced,2,preferred_term,10028245,10,Multiple Sclerosis,16,Bacteroides coprophilus,387090,,,-1.07,16S rRNA sequencing,Faeces,Human,2,2,Healthy control,Log10,Log10
6884,7279,287,Reduced,156,preferred_term,10082249,43,Non-alcoholic fatty liver disease,1283,Beijerinckiaceae,45404,,,-1.009,16S rRNA sequencing,Blood,Human,904,794,Healthy control,Log2,Log2
8671,9121,453,Reduced,27,preferred_term,10061536,5,Parkinson's Disease,306,Epilithonimonas,59732,,,-0.99,16S rRNA sequencing,Saliva,Human,1101,985,Healthy control,Log2 FC,
6879,7274,287,Reduced,156,preferred_term,10082249,10,Non-alcoholic fatty liver disease,1282,Erysipelothrix,1647,,,-0.942,16S rRNA sequencing,Faeces,Human,904,794,Healthy control,Log2,Log2
10893,11372,649,Reduced,395,,,10,Covid-19,8,Eubacterium rectale,39491,,,-0.903,Shotgun sequencing,Faeces,Human,1330,1200,Healthy control,Coefficient,
9782,10249,557,Reduced,22,preferred_term,10061451,10,Colorectal cancer,636,Lachnoclostridium,1506553,,,-0.89,16S rRNA sequencing,Faeces,Human,1218,1099,Healthy control,Log10 fold change,
6881,7276,287,Reduced,156,preferred_term,10082249,43,Non-alcoholic fatty liver disease,557,Leuconostoc,1243,,,-0.88,16S rRNA sequencing,Blood,Human,904,794,Healthy control,Log2,Log2
9518,9985,534,Reduced,73,preferred_term,10011078,10,Coronary artery disease,824,Fusicatenibacter,1407607,,,-0.88,16S rDNA pyrosequencing,Faeces,Human,1190,1072,Healthy control,log2 fold change,
14,15,207,Reduced,2,preferred_term,10028245,10,Multiple Sclerosis,15,Sutterella wadsworthensis,40545,,,-0.86,16S rRNA sequencing,Faeces,Human,2,2,Healthy control,Log10,Log10
13,14,207,Reduced,2,preferred_term,10028245,10,Multiple Sclerosis,14,Roseburia,841,,,-0.83,16S rRNA sequencing,Faeces,Human,2,2,Healthy control,Log10,Log10
10,11,207,Reduced,2,preferred_term,10028245,10,Multiple Sclerosis,11,Bacteroides coprocola,310298,,,-0.82,16S rRNA sequencing,Faeces,Human,2,2,Healthy control,Log10,Log10
11,12,207,Reduced,2,preferred_term,10028245,10,Multiple Sclerosis,12,Lactobacillus rogosae,706562,,,-0.82,16S rRNA sequencing,Faeces,Human,2,2,Healthy control,Log10,Log10
10890,11369,649,Reduced,395,,,10,Covid-19,295,Dorea formicigenerans,39486,,,-0.812,Shotgun sequencing,Faeces,Human,1330,1200,Healthy control,Coefficient,
